word,frequency
공감,253.0
결혼,128.0
출산,120.0
문제,117.0
엄마,113.0
시간,110.0
학교,110.0
부모,109.0
현실,103.0
어린이집,100.0
저출산,98.0
정책,98.0
아기,97.0
지원,89.0
육아,87.0
여자,77.0
해결,73.0
환경,72.0
정부,67.0
애기,66.0
사회,64.0
맞벌이,64.0
세상,58.0
퇴근,58.0
눈치,56.0
학원,54.0
한국,54.0
학년,53.0
아빠,53.0
낳을,52.0
혜택,51.0
둘째,50.0
집값,50.0
출산율,48.0
유치원,48.0
남자,46.0
자식,45.0
저녁,43.0
미래,42.0
육아휴직,40.0
병원,39.0
회사,39.0
요즘,38.0
국가,38.0
우리나라,36.0
애가,36.0
걱정,34.0
초등학교,34.0
세대,34.0
제도,34.0
직장,33.0
소아과,32.0
혼자,32.0
자녀,32.0
년생,32.0
마음,32.0
가족,31.0
아파트,31.0
년대,31.0
남편,31.0
가정,31.0
물가,31.0
임신,30.0
노인,30.0
부모님,29.0
세금,28.0
인생,28.0
댓글,27.0
이상,27.0
당장,26.0
경력,25.0
자기,25.0
어디,25.0
워킹맘,25.0
대책,24.0
이해,24.0
벌이,24.0
하원,24.0
여성,23.0
고민,23.0
단절,23.0
복직,23.0
이야기,23.0
졸업,22.0
친구,22.0
복지,22.0
근무,22.0
동네,22.0
주변,22.0
완전,22.0
여기,21.0
행복,21.0
준비,21.0
상황,21.0
대부분,21.0
경제,21.0
대기,20.0
개월,20.0
이번,20.0
선택,20.0
도움,20.0
사실,20.0
일찍,20.0
출근,20.0
살기,19.0
단축,19.0
일자리,19.0
미국,19.0
신입생,19.0
자체,18.0
부부,18.0
서로,18.0
저희,18.0
본인,18.0
지방,18.0
휴가,18.0
언제,17.0
나이,17.0
점점,17.0
뒷전,17.0
다시,17.0
가요,17.0
난리,17.0
취업,17.0
조금,17.0
가면,16.0
모습,16.0
대학,16.0
자신,16.0
기업,16.0
문화,16.0
시대,16.0
보호,16.0
옛날,16.0
오늘,16.0
정치인,16.0
교육,16.0
나중,16.0
죄인,15.0
사랑,15.0
눈물,15.0
원금,15.0
아들,15.0
비용,15.0
먼저,15.0
영상,15.0
서울,15.0
선생님,15.0
정치,15.0
제일,15.0
등등,15.0
내용,15.0
희생,15.0
현재,15.0
역시,15.0
주니어,14.0
급여,14.0
부터,14.0
시설,14.0
자리,14.0
보장,14.0
시스템,14.0
포기,14.0
우선,14.0
얼마,14.0
거나,14.0
방법,14.0
부담,14.0
성인,13.0
수도권,13.0
생기,13.0
고생,13.0
기도,13.0
진료,13.0
지역,13.0
서울대,13.0
심지어,13.0
입학,13.0
부분,13.0
하루,13.0
개인,13.0
최소,13.0
초반,13.0
비교,12.0
월급,12.0
실질,12.0
뉴스,12.0
기본,12.0
일단,12.0
공부,12.0
수가,12.0
관심,12.0
전세,12.0
한번,12.0
천만원,12.0
감당,12.0
오픈,12.0
정작,12.0
이면,12.0
부동산,12.0
동안,12.0
새끼,12.0
개선,11.0
국회의원,11.0
필요,11.0
직접,11.0
이건,11.0
우린,11.0
마련,11.0
달라,11.0
수준,11.0
의미,11.0
의료,11.0
