내용,Translated 내용
북한으로 끄지라!북한은 평등하데매!너들한테 맞는 나라는 가만보니깐 북한 뿐이다!,Turn off to North Korea! North Korea is equal!
야 여자도 똑같이 받고싶으면 야간당직하고 고소작업 똑같이 하고 그러면된다 더럽고 힘든건 여자라서 빠지면서 돈은  똑같이 받는 도둑넘심보는 뭐냐?,"If you want to receive the same thing, if you want to get the same, you can do the same work at night and do the same thing."
"예 동일한 노동을 했으면 동일한 임금 받아야죠 또한 평균임금에 속지마시고 고임금인  용광로 위에서 작업도 하시고 타워크레인도 작업하시고 고압선 작업도 하시고 빌딩 외곽청소도 하시면 똑같이 받습니다.  그리고 성별고려 없이 100% 능률, 성과 우선을 하고 할당제 폐지부터 합시다. 그러면 100% 다 여성만 들어가도 인정할 것입니다.","Yes, if you have the same labor, you should get the same wage. Also, do not be deceived by the average wage, work on the high -wage furnace, work on the tower crane, work on high -pressure lines, and clean the outside of the building.And let's first give priority to 100% efficiency, achievement, and abolish the quota system without gender consideration.Then you will admit only 100% of women."
페미들이 스믈스믈 기어나오는군..,Femmies are crawling with a smmle ...
민노총 연봉 2억 받던데.. 나머지 국민들도 똑같이 2억 받아야한다.. 투쟁..,I received 200 million salary of the Min -gun .. The rest of the people should get 200 million.
남녀 동일 임금이라.. 그렇게 되면 여성들 상당히 몸이 고된텔데.. 무거운것도 막 들고.. 야근도 막하고..,It's the same wage for men and women.
저런 시위할 시간에 스팩 쌓고 고위직 인사되었으면 여성 인권에 이바지됐을듯,"If you were a high -ranking greeting at the time to protest, you would have contributed to women's human rights."
니들은 즈엉이당 찍었니? 나가리되쓰요 ㅎ,Did you take a Zongdang?I'm going to get Nagari
그동안의 축적된 데이터가 있으니 안뽑겠지 ㅋㅋ,"There is a accumulated data so far, so I won't pick it up haha"
여성 개 무시하는것들 찍어 놓고...여성 평등? ㅋㅋㅋ,Take pictures of women's dogs ... Female equality?lol
포괄적  반대유,Comprehensive
남자랑 똑같은 일 시켜서 같은 임금 달라는 뜻은 아닐텐데,It doesn't mean you want the same wage by doing the same thing as a man.
민주당 이번에 공천에서 당원들이 폐미것들 다 쳐 낸 거 알지? ㅋㅋㅋ 그리고 지금 여당은 국민의힘이야 국민의힘한테 얘기해 야당한테 “해줘” 민주에몽 그만 좀 하고 정신 좀 차려라,"Democrats Do you know that the members of the party have been abolished in the nomination?ㅋㅋㅋ And now the ruling party is the power of the people. Talk to the people of the people and say to the opposition party, ""Do it."""
"그래서 본인들 전공, 지금까지 해왔던 일이 무엇인지 읊어 보시오.","So, let's take a look at what you have done so far."
ㅋㅋㅋㅋㅋㅋ 벌써부터 어질어질하네,ㅋㅋㅋ ㅋㅋㅋ It's already getting ridiculous
성평등이아니라 힘든일을하세요 민주당이였음 저거해줬다 아무리 쓰레기라도 민주당은 아니야,"It was not a gender evaluation, but a hard work. It was a Democratic Party."
"여성 경찰, 소방관등 모든 일터에서 봐라... 내근직등 쉬운거만 하면서... 같은일 하는데 급여가 작다니, 진급이 늦다니... 여자는 신체가 약하니 가만해야 하느니...  고용주 입장에서 이런데 여자 쓰것냐구?? ㅇㅋ?","Women's police, firefighters, etc., look at all workplaces ... It's easy to work, but it's easy to do the same thing.Are you going to use a woman?ok?"
똑같이 일만 해봐라 다르게 차별하는지 일은 안하고 똑같이 대우해 달라고 하면 안되지.,Just do the same thing. You shouldn't ask if you are discriminating differently.
웃기고있네 ㅋㅋㅋ 또 꽥꽥이냐 징그럽다,It's funny hahaha Is it gross?
결과의 평등이 아닌 기회의 평등,"Equality of opportunity, not equality of the results"
"대접은 받고 싶고, 같은 일을 똑같이 성차별 없이 하는건 싫고.. 일부의 얘기일 수 있지만 사회 전반적으로 인식이 너무 안좋다. 처우가 바뀌길 바라기 전에 먼저 사회 인식을 바꾸려고 노력을 하는것도 좋을것 같다.","I want to be treated, and I don't want to do the same thing without gender discrimination.It is also a good idea to try to change social awareness before you want to change treatment."
포괄적 차별금지법 반대! 악법입니다!,Opposition to comprehensive discrimination law!It's evil!
이제 애 안낳으니 군대가야지 평등하지? 와... 진짜 괴랄스럽네...진짜 생각 제대로 박힌 여성은 늬들을 지지하지도 옹호하지도 않지.. 뭉쳐서 외치고 우기지 말고. 늬들이 정당 만들어 보던가. 정당하게 취해라..,I don't have to go to the army now.Wow ... it's really weird ... The woman who really thinks properly doesn't support or advocate.Did you make a political party?Drunk properly ...
시진핑이 아녀자들 바쳐라 하면..쎄쎄~~하는 속국이나 만들어라,"If you don't have Xi Jinping, if you want to offer ..."
뭔 5대 여성.... 남녀 갈라치기 말고 제발 평등하게만 하자.,"Whatever the five women .... Don't split men and women, please make it equal."
